Lemma,PoS,Cons,Freq(ipm),Length
оборонительный,a,БРНТЛН,5.8,14
бронетанковый,a,БРНТНКВ,2.1,13
бронхиальный,a,БРНХЛН,1.3,12
баренцев,a,БРНЦВ,1.7,8
барьерный,a,БРРН,0.7,9
бросовый,a,БРСВ,1.5,8
борисовский,a,БРСВСК,0.7,11
брюсовский,a,БРСВСК,0.5,10
борисоглебский,a,БРСГЛБСК,1.3,14
барский,a,БРСК,4.7,7
боярский,a,БРСК,3.1,8
броский,a,БРСК,2.2,7
борский,a,БРСК,0.7,7
бурейский,a,БРСК,0.5,9
брусиловский,a,БРСЛВСК,0.5,12
барселонский,a,БРСЛНСК,0.5,12
брусничный,a,БРСНЧН,1,10
брюссельский,a,БРССЛСК,1.8,12
убористый,a,БРСТ,0.5,9
бристольский,a,БРСТЛСК,0.5,12
берестяной,a,БРСТН,2.1,10
брестский,a,БРСТСК,1.6,9
барсучий,a,БРСЧ,0.5,8
бритый,a,БРТ,4.6,6
братоубийственный,a,БРТБСТВНН,0.6,17
бортовой,a,БРТВ,8.2,8
бритвенный,a,БРТВНН,1.2,10
бритоголовый,a,БРТГЛВ,2.5,12
брутальный,a,БРТЛН,0.8,10
обратимый,a,БРТМ,1.7,9
обратный,a,БРТН,57,8
оборотный,a,БРТН,7.8,9
баритональный,a,БРТНЛН,0.5,13
британский,a,БРТНСК,29.5,10
британишский,a,БРТНШСК,0.5,12
бартерный,a,БРТРН,0.8,9
братский,a,БРТСК,12.3,8
бурятский,a,БРТСК,1.6,9
оборотистый,a,БРТСТ,0.7,11
оберточный,a,БРТЧН,0.9,10
брюхатый,a,БРХТ,0.5,8
бархатный,a,БРХТН,11.3,9
бархатистый,a,БРХТСТ,1.5,11
берцовый,a,БРЦВ,0.5,8
борцовский,a,БРЦВСК,0.8,10
обручальный,a,БРЧЛН,2.9,11
брачный,a,БРЧН,8.9,7
брючный,a,БРЧН,1.9,7
барачный,a,БРЧН,1.6,8
барочный,a,БРЧН,1.4,8
уборочный,a,БРЧН,1.1,9
обреченный,a,БРЧНН,10.4,10
барашковый,a,БРШКВ,0.5,10
брюшной,a,БРШН,4.6,7
бреющий,a,БРЩ,0.5,7
босой,a,БС,15.4,5
бейсбольный,a,БСБЛН,1.1,11
обособленный,a,БСБЛНН,5,12
басовый,a,БСВ,1,7
бесовский,a,БСВСК,2.1,9
басовитый,a,БСВТ,0.9,9
обсадный,a,БСДН,0.6,8
бесклассовый,a,БСКЛССВ,0.5,12
бескомпромиссный,a,БСКМПРМССН,2.5,16
бесконтактный,a,БСКНТКТН,1,13
бесконтрольный,a,БСКНТРЛН,1.6,14
бесконечный,a,БСКНЧН,48.7,11
бескровный,a,БСКРВН,2.7,10
бескрылый,a,БСКРЛ,1.2,9
бескрайний,a,БСКРН,5.1,10
бескорыстный,a,БСКРСТН,5.5,12
бескостный,a,БСКСТН,0.7,10
баскетбольный,a,БСКТБЛН,3.5,13
обслуживающий,a,БСЛЖВЩ,4,13
абсолютный,a,БСЛТН,42.3,10
басманный,a,БСМНН,0.9,9
обоснованный,a,БСНВНН,8.7,12
бесноватый,a,БСНВТ,1.3,10
босоногий,a,БСНГ,1.1,9
объяснимый,a,БСНМ,5.5,10
боснийский,a,БСНСК,0.8,10
баснословный,a,БСНСЛВН,2.3,12
объяснительный,a,БСНТЛН,2.2,14
бесповоротный,a,БСПВРТН,0.7,13
бесподобный,a,БСПДБН,1.8,11
беспозвоночный,a,БСПЗВНЧН,0.5,14
беспокойный,a,БСПКН,6.9,11
обеспокоенный,a,БСПКНН,0.7,13
бесполый,a,БСПЛ,1.1,8
бесплодный,a,БСПЛДН,6.1,10
бесполезный,a,БСПЛЗН,18.4,11
бесплатный,a,БСПЛТН,26.3,10
бесплотный,a,БСПЛТН,2.6,10
беспилотный,a,БСПЛТН,1.7,11
беспамятный,a,БСПМТН,0.5,11
беспомощный,a,БСПМЩН,13.5,11
беспробудный,a,БСПРБДН,0.9,12
беспроблемный,a,БСПРБЛМН,0.5,13
бесперебойный,a,БСПРБН,2.2,13
беспроводной,a,БСПРВДН,1.7,12
бесправный,a,БСПРВН,2.1,10
беспроигрышный,a,БСПРГРШН,1.7,14
беспредельный,a,БСПРДЛН,3.9,13
беспредметный,a,БСПРДМТН,1.1,13
беспородный,a,БСПРДН,1.1,11
беспардонный,a,БСПРДНН,1.2,12
беспорядочный,a,БСПРДЧН,3.6,13
беспризорный,a,БСПРЗРН,2.4,12
беспрекословный,a,БСПРКСЛВН,1,15
беспримерный,a,БСПРМРН,1.6,12
беспринципный,a,БСПРНЦПН,1.5,13
беспрепятственный,a,БСПРПТСТВНН,1.6,17
беспрерывный,a,БСПРРВН,2.6,12
беспросветный,a,БСПРСВТН,3.1,13
бесперспективный,a,БСПРСПКТВН,3.8,16
беспрестанный,a,БСПРСТНН,0.8,13
беспристрастный,a,БСПРСТРСТН,2.4,15
беспартийный,a,БСПРТН,5,12
бесприютный,a,БСПРТН,1,11
беспрецедентный,a,БСПРЦДНТН,7.1,15
беспроцентный,a,БСПРЦНТН,0.8,13
беспорочный,a,БСПРЧН,0.5,11
беспричинный,a,БСПРЧНН,2,12
боеспособный,a,БСПСБН,1.8,12
беспутный,a,БСПТН,1.3,9
беспочвенный,a,БСПЧВНН,1.5,12
беспечный,a,БСПЧН,5,9
обеспеченный,a,БСПЧНН,2.7,12
обеспечительный,a,БСПЧТЛН,1.8,15
беспошлинный,a,БСПШЛНН,0.7,12
беспощадный,a,БСПЩДН,11.8,11
абсурдный,a,БСРДН,4.5,9
бисерный,a,БСРН,1.1,8
бессвязный,a,БССВЗН,2.1,10
бессывороточный,a,БССВРТЧН,0.5,15
бессовестный,a,БССВСТН,3.3,12
бессудный,a,БССДН,0.5,9
бессодержательный,a,БССДРЖТЛН,0.9,17
бессознательный,a,БССЗНТЛН,5.7,15
бесславный,a,БССЛВН,1.3,10
бессловесный,a,БССЛВСН,2.7,12
обессилевший,a,БССЛВШ,0.5,12
бессильный,a,БССЛН,12.5,10
обессиленный,a,БССЛНН,1.6,12
